Issuer Name,Issuer Homepage,MSRB Issuer Identifier,Issuer Type,Date Retrieved,State Abbreviation,State FIPS
CORDOVA ALASKA ELEC LT & PWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=31B9054BCE4BE1C660844AE40E2A5AA2&type=G,31B9054BCE4BE1C660844AE40E2A5AA2,City,03/28/2024,AK,02
CORDOVA ALASKA TEL REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=B1E12E26942C256442B5A32AC5F5EE41&type=G,B1E12E26942C256442B5A32AC5F5EE41,City,03/28/2024,AK,02
CORDOVA ALASKA WTR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=F24EBF5B2C5B25CD0FFF5ED68E008AC5&type=G,F24EBF5B2C5B25CD0FFF5ED68E008AC5,City,03/28/2024,AK,02
DOWNTOWN ASSN FAIRBANKS INC ALASKA LEASE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=8B24016B6F3F2E68BBCDD45FD6D9C8B2&type=G,8B24016B6F3F2E68BBCDD45FD6D9C8B2,City,03/28/2024,AK,02
FAIRBANKS ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=0F5FEDCDA8DF32A2DA702DE97ABA9910&type=G,0F5FEDCDA8DF32A2DA702DE97ABA9910,City,03/28/2024,AK,02
FAIRBANKS ALASKA MUN UTILS REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=B2905A8177AE04907C42901F51A7CD5A&type=G,B2905A8177AE04907C42901F51A7CD5A,City,03/28/2024,AK,02
FAIRBANKS NORTH STAR BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=35AD173EFB001342B8589C6AD5CE87DC&type=G,35AD173EFB001342B8589C6AD5CE87DC,City,03/28/2024,AK,02
FAIRBANKS NORTH STAR BORO ALASKA RES MTG REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=6D252C395EFD130C016C0FC82DCE8F01&type=G,6D252C395EFD130C016C0FC82DCE8F01,City,03/28/2024,AK,02
FOUR DAM POOL PWR AGY ALASKA ELEC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=BC7FA644CF9D8DBCDDB5AABC01312D4A&type=G,BC7FA644CF9D8DBCDDB5AABC01312D4A,City,03/28/2024,AK,02
GREATER ANCHORAGE AREA BORO ALASKA CONSOLIDATED INTO ANCHORAGE ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=FA773FECFB6211D0C77C5D4E4D742F93&type=G,FA773FECFB6211D0C77C5D4E4D742F93,City,03/28/2024,AK,02
GREATER JUNEAU BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=1291447F81E9E926E2A1F8C20CECB47C&type=G,1291447F81E9E926E2A1F8C20CECB47C,City,03/28/2024,AK,02
GREATER JUNEAU BORO ALASKA MED ARTS BLDG CO,https://emma.msrb.org/IssuerHomePage/Issuer?id=8BB4C1EB177327D275D7AC72DEF87D9C&type=G,8BB4C1EB177327D275D7AC72DEF87D9C,City,03/28/2024,AK,02
GREATER SITKA BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=2AEA2B96222417A7E0283755E813BC2E&type=G,2AEA2B96222417A7E0283755E813BC2E,City,03/28/2024,AK,02
HAINES BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=73387704E40AC76621106B6475E8B70A&type=G,73387704E40AC76621106B6475E8B70A,City,03/28/2024,AK,02
HOMER ALASKA MUNI UTIL SYS SWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=DA78FBECC18A8D15AB3FA4159549EEB8&type=G,DA78FBECC18A8D15AB3FA4159549EEB8,City,03/28/2024,AK,02
JUNEAU ALASKA CITY & BORO,https://emma.msrb.org/IssuerHomePage/Issuer?id=B5C724715E0590D8563F7396740EBE29&type=G,B5C724715E0590D8563F7396740EBE29,City,03/28/2024,AK,02
JUNEAU ALASKA CITY & BORO HOME MTG REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=9A75DFDAC5F62B2D5ADC0BF07D6D7D66&type=G,9A75DFDAC5F62B2D5ADC0BF07D6D7D66,City,03/28/2024,AK,02
JUNEAU ALASKA CITY & BORO NONRECOURSE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=D3DA5C0E977256DEED0FE8D59EFEA4C6&type=G,D3DA5C0E977256DEED0FE8D59EFEA4C6,City,03/28/2024,AK,02
JUNEAU ALASKA CITY & BORO WTR & SWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=5D45653C054D38587E40A563F46C10EE&type=G,5D45653C054D38587E40A563F46C10EE,City,03/28/2024,AK,02
